Year,Candidate_ID,Name,State,Category,Prelims_Score,Mains_Score,Interview_Score,Final_Score,AIR (All India Rank),Category_Rank,State_Rank,Selection_Status,Service_Allotted
2020,UPSC948582,Candidate_4627,Delhi,EWS,170,573,269,1012,943,1442,472,Yes,IPS
2020,UPSC734602,Candidate_9232,Tamil Nadu,SC,145,335,214,694,18665,2713,425,No,None
2021,UPSC741731,Candidate_1181,Karnataka,OBC,191,857,227,1275,735,392,205,Yes,None
2017,UPSC655768,Candidate_3114,Karnataka,General,66,565,265,896,6136,2636,218,Yes,IPS
2018,UPSC786033,Candidate_6783,Karnataka,SC,92,862,103,1057,2715,510,226,Yes,IPS
2017,UPSC659190,Candidate_4930,Tamil Nadu,General,123,547,197,867,1828,432,335,Yes,None
2015,UPSC873609,Candidate_2949,Maharashtra,EWS,199,522,265,986,19923,4498,281,Yes,None
2016,UPSC151297,Candidate_1243,Karnataka,OBC,181,689,83,953,13137,4995,451,Yes,IAS
2023,UPSC557200,Candidate_6999,Tamil Nadu,OBC,198,333,138,669,17971,1162,91,No,None
2022,UPSC596686,Candidate_7269,West Bengal,EWS,77,332,186,595,19567,2934,494,No,None
2016,UPSC959723,Candidate_1163,Karnataka,OBC,173,752,216,1141,5180,792,47,Yes,None
2018,UPSC807293,Candidate_5682,Uttar Pradesh,General,151,305,114,570,15814,3675,101,No,None
2020,UPSC330781,Candidate_7659,Uttar Pradesh,SC,61,768,135,964,821,2019,191,Yes,None
2024,UPSC523394,Candidate_4876,Karnataka,SC,187,344,228,759,2265,907,423,Yes,IRS
2019,UPSC623018,Candidate_3737,Maharashtra,EWS,100,842,82,1024,4756,4755,288,Yes,None
2017,UPSC795558,Candidate_1469,Maharashtra,SC,159,412,188,759,18172,3413,53,Yes,IAS
2015,UPSC539991,Candidate_7842,Karnataka,SC,163,710,146,1019,15592,445,40,Yes,IAS
2016,UPSC691786,Candidate_8955,Delhi,OBC,58,580,192,830,18454,3988,328,Yes,IPS
2020,UPSC805013,Candidate_6787,Karnataka,OBC,50,777,51,878,19511,4264,489,Yes,IRS
2024,UPSC704366,Candidate_2798,Karnataka,General,154,431,150,735,18998,575,298,Yes,None
2016,UPSC193007,Candidate_2037,Delhi,SC,199,461,183,843,1635,1952,211,Yes,IRS
2023,UPSC766107,Candidate_8057,Delhi,General,158,571,229,958,14126,1974,119,Yes,IPS
2019,UPSC360902,Candidate_4469,Uttar Pradesh,ST,119,587,127,833,2539,2745,292,Yes,IRS
2024,UPSC806277,Candidate_3046,Uttar Pradesh,General,165,810,254,1229,6928,4876,155,Yes,IFS
2021,UPSC106815,Candidate_9554,Maharashtra,EWS,174,475,90,739,18989,1638,243,Yes,IRS
2015,UPSC836166,Candidate_8936,West Bengal,ST,109,718,271,1098,15669,4842,12,Yes,None
2024,UPSC560794,Candidate_6562,Tamil Nadu,SC,191,517,100,808,354,3230,9,Yes,IRS
2020,UPSC823967,Candidate_9460,Maharashtra,General,79,562,52,693,11240,1643,109,No,None
2023,UPSC275469,Candidate_8440,Maharashtra,SC,155,891,262,1308,3074,2100,448,Yes,IRS
2019,UPSC717409,Candidate_7806,Tamil Nadu,EWS,63,737,130,930,18336,4907,433,Yes,IPS
2016,UPSC433036,Candidate_7476,Tamil Nadu,SC,139,476,235,850,11105,2050,62,Yes,IPS
2020,UPSC133318,Candidate_3262,Delhi,OBC,139,455,113,707,17590,1150,385,Yes,None
2023,UPSC296620,Candidate_6340,Tamil Nadu,OBC,113,748,208,1069,9635,3935,48,Yes,None
2022,UPSC795985,Candidate_3703,Karnataka,SC,134,312,213,659,16784,1999,219,No,None
2021,UPSC604128,Candidate_6997,Tamil Nadu,OBC,50,397,227,674,1221,486,374,No,None
2019,UPSC465885,Candidate_5555,Maharashtra,ST,155,900,174,1229,5664,3010,98,Yes,None
2020,UPSC332971,Candidate_9491,Karnataka,SC,123,518,159,800,3084,2629,455,Yes,IAS
2020,UPSC927449,Candidate_5197,Maharashtra,General,117,416,116,649,9544,3095,418,No,None
2023,UPSC424533,Candidate_4212,Delhi,General,178,798,214,1190,11937,1056,206,Yes,IPS
2021,UPSC477654,Candidate_7921,Maharashtra,EWS,74,591,94,759,11943,2880,27,Yes,IFS
2023,UPSC812834,Candidate_5546,Tamil Nadu,EWS,158,694,114,966,8540,640,369,Yes,None
2022,UPSC487821,Candidate_6313,Maharashtra,EWS,197,521,227,945,10453,4728,331,Yes,IPS
2021,UPSC226410,Candidate_6241,Tamil Nadu,ST,73,774,243,1090,12210,3334,266,Yes,IPS
2023,UPSC519900,Candidate_7204,Delhi,EWS,71,592,52,715,8382,4636,208,Yes,IRS
2021,UPSC105165,Candidate_5573,Tamil Nadu,ST,110,622,162,894,16754,1557,133,Yes,IFS
2018,UPSC600193,Candidate_5747,Delhi,ST,137,614,273,1024,3805,1470,164,Yes,None
2023,UPSC218730,Candidate_4386,Tamil Nadu,OBC,140,640,221,1001,3950,4708,358,Yes,IFS
2022,UPSC786168,Candidate_9046,Delhi,OBC,83,453,138,674,1185,2667,108,No,None
2017,UPSC181840,Candidate_7709,Maharashtra,General,143,698,147,988,18923,3601,425,Yes,IFS
2019,UPSC144312,Candidate_6676,Delhi,OBC,166,333,215,714,8743,3305,223,Yes,IAS
2023,UPSC703238,Candidate_3442,Uttar Pradesh,General,161,439,108,708,1582,4084,337,Yes,IAS
2016,UPSC793039,Candidate_8046,Uttar Pradesh,EWS,148,680,264,1092,13112,2875,50,Yes,IRS
2023,UPSC666595,Candidate_5141,Delhi,General,167,331,229,727,1033,1859,454,Yes,IPS
2017,UPSC910651,Candidate_4931,Delhi,General,186,713,103,1002,19614,3446,382,Yes,IFS
2018,UPSC631792,Candidate_5152,Maharashtra,ST,129,680,155,964,690,3851,37,Yes,IRS
2017,UPSC971363,Candidate_9755,Uttar Pradesh,ST,97,778,143,1018,12379,4622,66,Yes,IAS
2020,UPSC382102,Candidate_8022,Tamil Nadu,SC,52,587,53,692,5815,3133,279,No,None
2024,UPSC511563,Candidate_5589,Delhi,OBC,167,645,165,977,13390,1862,104,Yes,IRS
2015,UPSC501562,Candidate_1397,Delhi,OBC,185,513,191,889,1901,249,444,Yes,IRS
2016,UPSC175114,Candidate_8221,Uttar Pradesh,OBC,100,571,118,789,9784,1323,89,Yes,IFS
2022,UPSC811930,Candidate_8380,Uttar Pradesh,SC,172,345,200,717,10584,1133,360,Yes,IFS
2021,UPSC320001,Candidate_5187,Uttar Pradesh,OBC,76,631,82,789,9252,1247,101,Yes,IPS
2020,UPSC831568,Candidate_4487,Delhi,OBC,174,811,253,1238,12897,1965,450,Yes,None
2018,UPSC391228,Candidate_7595,Karnataka,General,63,451,149,663,14365,4763,432,No,None
2022,UPSC306865,Candidate_3449,Karnataka,EWS,115,747,176,1038,9127,2502,24,Yes,IFS
2023,UPSC701879,Candidate_4686,Uttar Pradesh,EWS,71,899,221,1191,16957,2778,392,Yes,IPS
2023,UPSC556362,Candidate_8925,Karnataka,OBC,87,517,160,764,10448,1374,97,Yes,IFS
2016,UPSC313842,Candidate_2565,Uttar Pradesh,EWS,100,376,56,532,6797,4324,413,No,None
2015,UPSC883249,Candidate_5721,Maharashtra,EWS,158,549,173,880,1459,2307,47,Yes,None
2021,UPSC585829,Candidate_1720,Maharashtra,ST,120,577,205,902,10082,3284,278,Yes,IPS
2019,UPSC226897,Candidate_6040,Maharashtra,ST,106,719,192,1017,1830,1817,109,Yes,None
2020,UPSC224216,Candidate_1093,Maharashtra,OBC,77,634,122,833,3054,672,154,Yes,IAS
2024,UPSC917035,Candidate_9037,West Bengal,General,121,773,255,1149,10782,3847,172,Yes,IPS
2018,UPSC848209,Candidate_4859,West Bengal,SC,173,476,123,772,16003,1631,5,Yes,IAS
2015,UPSC839795,Candidate_6208,West Bengal,General,58,336,185,579,19290,1782,227,No,None
2016,UPSC360884,Candidate_7458,Delhi,SC,75,400,211,686,5332,28,65,No,None
2022,UPSC782093,Candidate_4086,Maharashtra,EWS,195,611,226,1032,1435,1371,288,Yes,IAS
2018,UPSC208444,Candidate_6309,Tamil Nadu,ST,72,617,237,926,18313,1925,372,Yes,IAS
2016,UPSC125983,Candidate_4323,Delhi,EWS,83,687,185,955,10471,4266,423,Yes,None
2015,UPSC410059,Candidate_1868,Delhi,General,140,306,88,534,18235,3783,331,No,None
2017,UPSC972923,Candidate_3274,Karnataka,OBC,125,553,197,875,6902,1770,441,Yes,IFS
2016,UPSC946724,Candidate_1455,Karnataka,General,130,632,91,853,3109,3618,441,Yes,IAS
2020,UPSC459840,Candidate_8570,Karnataka,SC,61,534,118,713,14173,775,267,Yes,IRS
2023,UPSC744569,Candidate_5442,Karnataka,OBC,174,607,191,972,4446,4430,51,Yes,IPS
2020,UPSC198850,Candidate_6626,Tamil Nadu,EWS,66,705,271,1042,12353,4177,122,Yes,None
2021,UPSC303599,Candidate_2014,West Bengal,General,134,864,262,1260,487,1329,79,Yes,None
2020,UPSC716619,Candidate_9948,Karnataka,EWS,108,375,124,607,17547,1499,389,No,None
2022,UPSC579992,Candidate_7402,Karnataka,EWS,110,539,91,740,6757,3190,281,Yes,IFS
2024,UPSC472114,Candidate_9626,Maharashtra,EWS,107,500,260,867,4273,3585,312,Yes,IAS
2018,UPSC358901,Candidate_4117,West Bengal,OBC,173,889,183,1245,370,3310,228,Yes,IPS
2015,UPSC544060,Candidate_6099,Karnataka,ST,179,432,250,861,19562,557,441,Yes,IAS
2016,UPSC263340,Candidate_8198,West Bengal,OBC,189,776,152,1117,2186,954,285,Yes,IRS
2022,UPSC283841,Candidate_3574,Karnataka,OBC,129,568,182,879,11693,3598,340,Yes,IAS
2019,UPSC451451,Candidate_9512,Tamil Nadu,EWS,143,418,188,749,16371,234,454,Yes,IFS
2023,UPSC642400,Candidate_2119,Delhi,ST,159,592,59,810,6343,2401,388,Yes,IRS
2019,UPSC686315,Candidate_9689,Uttar Pradesh,EWS,71,728,227,1026,17953,4037,295,Yes,IFS
2024,UPSC988592,Candidate_8699,Maharashtra,OBC,120,437,96,653,1300,2082,227,No,None
2021,UPSC828913,Candidate_1917,Maharashtra,SC,71,701,201,973,15202,1751,175,Yes,IAS
2021,UPSC990858,Candidate_7150,Maharashtra,General,177,305,161,643,5245,4778,378,No,None
2024,UPSC639309,Candidate_3123,Tamil Nadu,OBC,51,667,208,926,9379,1083,454,Yes,IFS
2024,UPSC938244,Candidate_9144,Uttar Pradesh,ST,134,375,101,610,11337,4735,432,No,None
2024,UPSC388138,Candidate_2459,Delhi,EWS,184,501,114,799,2601,160,273,Yes,IAS
2024,UPSC260740,Candidate_2254,Karnataka,SC,186,589,231,1006,15053,3724,220,Yes,None
2018,UPSC139446,Candidate_1247,Uttar Pradesh,General,70,379,121,570,18975,1610,428,No,None
2022,UPSC587612,Candidate_3983,Karnataka,OBC,82,581,246,909,12875,3000,198,Yes,IPS
2017,UPSC578064,Candidate_8011,Maharashtra,OBC,178,898,83,1159,7850,4622,237,Yes,IPS
2018,UPSC511104,Candidate_2131,Uttar Pradesh,ST,122,557,168,847,6654,1158,236,Yes,None
2020,UPSC464265,Candidate_8313,West Bengal,EWS,86,672,269,1027,10583,2539,406,Yes,IRS
2023,UPSC355237,Candidate_5195,West Bengal,General,186,409,198,793,13736,1553,248,Yes,None
2019,UPSC480814,Candidate_4193,Tamil Nadu,ST,192,532,200,924,12927,2695,183,Yes,IFS
2016,UPSC173164,Candidate_3512,Uttar Pradesh,OBC,182,305,70,557,5276,4309,374,No,None
2020,UPSC373557,Candidate_3806,Karnataka,General,102,357,164,623,16592,1352,355,No,None
2016,UPSC800981,Candidate_2086,Maharashtra,EWS,64,349,81,494,412,2120,8,No,None
2017,UPSC635323,Candidate_4485,Uttar Pradesh,General,165,475,127,767,4160,1017,466,Yes,None
2016,UPSC520694,Candidate_7365,Karnataka,General,90,435,207,732,14092,922,282,Yes,IRS
2021,UPSC505306,Candidate_5611,Maharashtra,EWS,150,310,111,571,14870,285,249,No,None
2015,UPSC679343,Candidate_9936,West Bengal,ST,153,652,76,881,7581,2210,92,Yes,IFS
2024,UPSC802034,Candidate_7767,Karnataka,General,168,707,179,1054,13756,4610,200,Yes,IAS
2023,UPSC871805,Candidate_9772,Uttar Pradesh,General,97,898,113,1108,1211,607,305,Yes,IAS
2017,UPSC814168,Candidate_6665,Karnataka,ST,153,705,250,1108,9456,3209,113,Yes,IRS
2018,UPSC525127,Candidate_9814,Delhi,EWS,88,798,154,1040,17197,984,473,Yes,IAS
2015,UPSC635191,Candidate_9898,Maharashtra,EWS,151,404,242,797,13702,3846,342,Yes,IRS
2018,UPSC186667,Candidate_7792,Tamil Nadu,General,188,884,171,1243,553,1223,146,Yes,IRS
2022,UPSC780181,Candidate_6348,West Bengal,EWS,75,892,133,1100,2940,1092,338,Yes,IFS
2018,UPSC211009,Candidate_5882,West Bengal,SC,144,891,210,1245,18062,1147,298,Yes,None
2019,UPSC146247,Candidate_3177,Delhi,SC,173,615,168,956,17228,4390,488,Yes,None
2019,UPSC336707,Candidate_9401,Tamil Nadu,General,165,560,265,990,14474,1304,158,Yes,IAS
2017,UPSC805105,Candidate_2828,Maharashtra,General,140,543,93,776,54,1231,294,Yes,None
2015,UPSC688661,Candidate_8154,Maharashtra,EWS,169,869,154,1192,13338,193,220,Yes,IAS
2020,UPSC179435,Candidate_3185,Karnataka,EWS,176,827,165,1168,5702,2467,422,Yes,IFS
2015,UPSC212758,Candidate_8834,Uttar Pradesh,SC,119,719,122,960,11362,3121,135,Yes,IRS
2021,UPSC945915,Candidate_3001,Maharashtra,EWS,133,551,134,818,5480,3896,85,Yes,IAS
2022,UPSC172454,Candidate_2773,Karnataka,ST,175,777,227,1179,3936,1153,111,Yes,None
2021,UPSC966040,Candidate_6145,West Bengal,EWS,190,652,132,974,523,4103,464,Yes,IAS
2018,UPSC965285,Candidate_5108,Maharashtra,SC,154,826,199,1179,17645,2628,77,Yes,IFS
2022,UPSC791045,Candidate_6414,Tamil Nadu,ST,136,355,101,592,12912,4920,342,No,None
2018,UPSC361409,Candidate_9522,Uttar Pradesh,OBC,166,833,270,1269,17863,2633,459,Yes,IFS
2015,UPSC344050,Candidate_1151,Uttar Pradesh,EWS,79,817,92,988,16515,4394,247,Yes,None
2024,UPSC859103,Candidate_6141,Uttar Pradesh,SC,118,800,149,1067,17091,3197,198,Yes,IAS
2022,UPSC622489,Candidate_4440,Maharashtra,EWS,196,809,100,1105,16748,3591,485,Yes,None
2021,UPSC575715,Candidate_6082,Tamil Nadu,SC,142,772,128,1042,659,2310,302,Yes,None
2019,UPSC332311,Candidate_2959,Tamil Nadu,EWS,96,479,181,756,2379,2053,160,Yes,IAS
2022,UPSC426285,Candidate_2633,Tamil Nadu,EWS,87,487,81,655,17799,3673,172,No,None
2024,UPSC185696,Candidate_5861,Karnataka,ST,117,309,264,690,16891,4208,299,No,None
2023,UPSC456524,Candidate_6021,Maharashtra,SC,94,749,129,972,12111,448,346,Yes,None
2020,UPSC325247,Candidate_3183,Karnataka,General,71,507,107,685,6835,2502,233,No,None
2020,UPSC557337,Candidate_8383,Tamil Nadu,ST,135,311,204,650,6327,2705,380,No,None
2019,UPSC777821,Candidate_2027,Delhi,General,127,795,190,1112,18930,955,1,Yes,IRS
2016,UPSC608240,Candidate_3174,Maharashtra,SC,75,571,88,734,2570,2144,347,Yes,IFS
2018,UPSC139062,Candidate_5545,Maharashtra,General,100,815,137,1052,16178,4135,13,Yes,IAS
2024,UPSC927488,Candidate_9919,Uttar Pradesh,General,99,708,109,916,9428,984,211,Yes,None
2024,UPSC838576,Candidate_9027,Delhi,SC,151,779,256,1186,11494,4643,134,Yes,IRS
2015,UPSC857893,Candidate_3816,Delhi,ST,107,817,165,1089,15075,2669,418,Yes,IPS
2018,UPSC172411,Candidate_9815,West Bengal,OBC,80,881,167,1128,13944,861,151,Yes,IPS
2018,UPSC683951,Candidate_2603,Maharashtra,ST,62,818,89,969,956,817,6,Yes,IFS
2021,UPSC806483,Candidate_3763,Tamil Nadu,EWS,173,839,82,1094,3286,1602,99,Yes,IPS
2016,UPSC600901,Candidate_7842,West Bengal,General,53,663,71,787,15966,1627,269,Yes,None
2020,UPSC124896,Candidate_6488,Tamil Nadu,SC,73,369,147,589,6711,3231,429,No,None
2018,UPSC453835,Candidate_2151,Tamil Nadu,OBC,74,891,102,1067,19515,2936,282,Yes,IPS
2024,UPSC740372,Candidate_8666,West Bengal,SC,84,883,77,1044,17780,4082,189,Yes,IAS
2024,UPSC759695,Candidate_9014,Maharashtra,ST,69,348,94,511,3011,5,332,No,None
2018,UPSC210231,Candidate_1735,Uttar Pradesh,ST,98,619,217,934,7926,4172,281,Yes,IFS
2017,UPSC530225,Candidate_7303,Karnataka,General,168,880,104,1152,10746,239,88,Yes,IPS
2016,UPSC419436,Candidate_1967,Delhi,OBC,114,370,240,724,7934,4093,380,Yes,None
2021,UPSC287267,Candidate_1334,Maharashtra,SC,80,636,240,956,8603,2830,400,Yes,IPS
2015,UPSC778677,Candidate_6776,Delhi,SC,156,620,128,904,17827,2900,307,Yes,IFS
2019,UPSC804744,Candidate_5972,Maharashtra,ST,175,883,149,1207,13769,4359,258,Yes,IPS
2017,UPSC771742,Candidate_2114,Tamil Nadu,ST,151,861,182,1194,2920,1973,4,Yes,IPS
2016,UPSC121737,Candidate_6606,Tamil Nadu,SC,174,583,189,946,11716,3521,143,Yes,IAS
2018,UPSC888048,Candidate_1844,Uttar Pradesh,OBC,62,466,54,582,148,3952,328,No,None
2021,UPSC483765,Candidate_3579,Maharashtra,General,138,748,193,1079,18933,384,498,Yes,IFS
2020,UPSC767412,Candidate_8049,Maharashtra,ST,116,655,196,967,14682,3630,159,Yes,IPS
2016,UPSC738873,Candidate_4409,West Bengal,OBC,144,697,103,944,17068,2034,117,Yes,IFS
2018,UPSC581953,Candidate_4162,Delhi,ST,89,671,175,935,16257,4807,101,Yes,IAS
2020,UPSC684430,Candidate_2595,Maharashtra,General,130,336,77,543,12776,4443,35,No,None
2019,UPSC158097,Candidate_2674,Karnataka,General,174,702,173,1049,8471,4651,233,Yes,IPS
2024,UPSC322246,Candidate_2640,Maharashtra,General,110,723,173,1006,5385,130,114,Yes,IPS
2015,UPSC856298,Candidate_4786,Tamil Nadu,General,92,897,158,1147,3603,4394,280,Yes,IRS
2015,UPSC474791,Candidate_2017,West Bengal,OBC,122,690,92,904,12397,1621,245,Yes,IAS
